s,a,dt,r,z,time_j
1,1,10,67,651,10
1,1,10,114,557,20
1,1,10,58,431,30
1,1,10,46,361,40
1,1,10,21,298,50
1,2,10,175,654,10
1,2,10,175,445,20
1,2,10,73,250,30
1,2,10,42,166,40
1,2,10,19,116,50
1,2,10,0,4,60
2,1,3,10,574,3
2,1,3,20,516,6
2,1,3,28,493,9
2,1,3,13,370,12
2,1,3,11,256,15
2,1,3,5,144,18
2,1,3,2,62,21
2,1,3,0,23,24
2,1,3,0,4,27
2,2,3,24,576,3
2,2,3,54,511,6
2,2,3,53,445,9
2,2,3,36,314,12
2,2,3,16,191,15
2,2,3,7,106,18
2,2,3,3,39,21
2,2,3,3,10,24
3,1,12,84,397,12
3,1,12,54,279,24
3,1,12,29,151,36
3,1,12,9,75,48
3,1,12,2,38,60
3,1,12,1,6,72
3,1,12,0,1,84
3,2,12,130,393,12
3,2,12,72,235,24
3,2,12,19,110,36
3,2,12,6,54,48
3,2,12,1,18,60
3,2,12,0,3,72
3,2,12,0,1,84
4,1,6,8,309,6
4,1,6,18,299,12
4,1,6,12,281,18
4,1,6,15,266,24
4,1,6,11,246,30
4,1,6,8,175,36
4,1,6,2,121,42
4,1,6,3,72,48
4,2,6,26,313,6
4,2,6,49,282,12
4,2,6,29,233,18
4,2,6,31,198,24
4,2,6,17,160,30
4,2,6,6,109,36
4,2,6,7,75,42
4,2,6,5,44,48
5,1,6,15,249,6
5,1,6,44,230,12
5,1,6,38,185,18
5,1,6,30,148,24
5,1,6,11,112,30
5,1,6,7,73,36
5,1,6,1,21,42
5,1,6,0,6,48
5,2,6,6,254,6
5,2,6,18,248,12
5,2,6,26,226,18
5,2,6,15,202,24
5,2,6,13,178,30
5,2,6,12,109,36
5,2,6,1,35,42
5,2,6,2,12,48
6,1,12,45,192,12
6,1,12,51,141,24
6,1,12,22,92,36
6,1,12,17,68,48
6,1,12,3,50,60
6,1,12,7,43,72
6,1,12,6,35,84
6,2,12,82,193,12
6,2,12,41,105,24
6,2,12,17,64,36
6,2,12,9,47,48
6,2,12,5,38,60
6,2,12,1,33,72
6,2,12,5,27,84
7,1,4,19,597,4
7,1,4,55,533,8
7,1,4,42,464,12
7,1,4,36,400,16
7,1,4,24,353,20
7,1,4,15,316,24
7,1,4,23,251,28
7,1,4,13,177,32
7,1,4,8,102,36
7,1,4,2,51,40
7,2,4,59,602,4
7,2,4,83,488,8
7,2,4,58,367,12
7,2,4,57,289,16
7,2,4,36,214,20
7,2,4,23,168,24
7,2,4,15,127,28
7,2,4,13,81,32
7,2,4,6,41,36
7,2,4,1,17,40
8,1,12,69,355,12
8,1,12,87,274,24
8,1,12,33,137,36
8,1,12,12,61,48
8,1,12,1,16,60
8,2,12,42,355,12
8,2,12,45,303,24
8,2,12,32,200,36
8,2,12,11,105,48
8,2,12,4,35,60
9,1,12,111,362,12
9,1,12,78,236,24
9,1,12,39,158,36
9,1,12,27,115,48
9,1,12,12,85,60
9,1,12,9,67,72
9,1,12,2,34,84
9,1,12,7,20,96
9,1,12,1,9,108
9,2,12,378,724,12
9,2,12,133,331,24
9,2,12,58,189,36
9,2,12,29,130,48
9,2,12,15,99,60
9,2,12,9,66,72
9,2,12,5,44,84
9,2,12,6,23,96
9,2,12,1,12,108
10,1,12,50,377,12
10,1,12,38,316,24
10,1,12,17,270,36
10,1,12,11,242,48
10,2,12,40,189,12
10,2,12,30,142,24
10,2,12,14,109,36
10,2,12,9,92,48
11,1,6,23,525,6
11,1,6,53,469,12
11,1,6,25,389,18
11,1,6,32,315,24
11,1,6,4,89,30
11,1,6,0,2,36
11,2,6,67,527,6
11,2,6,79,437,12
11,2,6,51,325,18
11,2,6,32,229,24
11,2,6,3,57,30
12,1,12,3,36,12
12,1,12,2,14,24
12,1,12,0,4,36
12,1,12,0,3,48
12,1,12,0,1,60
12,2,12,19,35,12
12,2,12,2,5,24
12,2,12,0,1,36
